key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
sanders_K_MIA,Jason Sanders,K,MIA,11,298.0,238.0,289.0,,,,,,,,33.1,,7.6,,8.8,,,7.6,0.2,,,,,3.6,
barber_RB_WSH,Peyton Barber,RB,WSH,8,299.0,306.0,249.5,304.5,,2.1,,,0.1,81.5,,,,0.7,,,,,,,11.4,,,,0.5
dorsett_WR_SEA,Phillip Dorsett,WR,SEA,6,300.0,317.0,311.0,11.0,,0.1,,,2.7,361.5,,0.0,,,,,,,,,24.0,,,,
lambo_K_JAX,Josh Lambo,K,JAX,7,301.0,315.0,262.3,,,,,,,,29.6,,8.4,,7.0,,,7.7,0.2,,,,,4.5,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,11,303.0,227.0,257.3,145.3,,1.3,,2798.6,,,,12.0,,1.9,,,,,,,,16.1,,,1.1
sims_WR_WSH,Steven Sims,WR,WSH,8,304.0,313.0,288.5,40.8,,0.4,,,4.6,604.5,,0.0,,0.5,,,,,,0.7,55.5,,,,
agholor_WR_LV,Nelson Agholor,WR,LV,6,305.0,310.0,297.0,12.4,,0.0,,,1.8,316.2,,,,1.0,,,,,,,28.3,,,,
valdesscantling_WR_GB,Marquez Valdes-Scantling,WR,GB,5,306.0,322.0,283.5,7.7,,0.0,,,1.9,400.1,,,,0.0,,,,,,,25.5,,,,
trubisky_QB_CHI,Mitch Trubisky,QB,CHI,11,307.0,325.0,275.7,149.2,,1.0,,2366.2,,,,8.4,,0.7,,,,,,,,13.3,,,1.5
hollister_TE_SEA,Jacob Hollister,TE,SEA,6,308.0,324.0,308.0,0.3,,0.0,,,1.1,123.6,,,,0.0,,,,,,,11.8,,,,
sloman_K_LAR,Sam Sloman,K,LAR,9,309.0,262.0,290.5,,,,,,,,32.2,,7.7,,7.9,,,7.3,0.3,,,,,3.9,
robinson_WR_KC,Demarcus Robinson,WR,KC,10,310.0,327.0,323.0,0.4,,0.0,,,1.7,243.1,,,,,,,,,,,17.2,,,,
arcegawhiteside_WR_PHI,J.J. Arcega-Whiteside,WR,PHI,9,311.0,330.0,326.0,0.6,,0.0,,,0.9,121.6,,,,,,,,,,,8.7,,,,
brate_TE_TB,Cameron Brate,TE,TB,13,313.0,321.0,296.5,0.3,,0.0,,,2.4,213.4,,,,0.0,,,,,,,20.4,,,,
ficken_K_NYJ,Sam Ficken,K,NYJ,11,314.0,293.0,303.0,,,,,,,,29.6,,7.9,,7.7,,,5.8,0.5,,,,,3.9,
jaguars_DST_JAX,Jaguars,DST,JAX,7,315.0,329.0,293.3,,26.2,,38.4,,,,,,,10.8,,10.8,12.2,,,2.0,,,0.3,,
humphries_WR_TEN,Adam Humphries,WR,TEN,7,316.0,318.0,309.0,4.2,,0.0,,,3.1,485.7,,,,1.0,,,,,,,45.9,,,,
jefferson_WR_LAR,Van Jefferson,WR,LAR,9,317.0,334.0,302.0,13.6,,0.0,,,1.8,417.4,,,,0.5,,,,,,,30.2,,,,
boone_RB_MIN,Mike Boone,RB,MIN,7,318.0,332.0,328.0,153.8,,1.2,,,0.1,27.9,,,,0.2,,,,,,,2.9,,,,0.0
gage_WR_ATL,Russell Gage,WR,ATL,10,319.0,323.0,298.0,25.9,,0.1,,,3.4,566.9,,0.0,,0.0,,,,,,,52.6,,,,
hopkins_K_WSH,Dustin Hopkins,K,WSH,8,320.0,284.0,278.5,,,,,,,,26.7,,7.0,,7.6,,,6.2,0.2,,,,,3.2,
