key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
williams_WR_NYJ,Mike Williams,WR,NYJ,12.0,139,158,147,767.5,,,,,,0.0,,,,,,,,,56.5,4.5,5.0,,,0.5,
dowdle_RB_DAL,Rico Dowdle,RB,DAL,7.0,128,134,148,175.5,,,,,,4.0,,,,,,,,,22.0,1.5,598.0,,,1.0,
stafford_QB_LAR,Matthew Stafford,QB,LAR,6.0,146,143,149,,,13.5,28.5,,,0.5,,,4114.5,,,,,,,,65.5,,,2.0,
moody_K_SF,Jake Moody,K,SF,9.0,173,150,150,,7.5,,,0.2,,,,9.2,,,,,,48.0,,,,7.7,,,5.3
steelers_DST_PIT,Steelers,DST,PIT,9.0,195,178,151,,,,,,21.4,,0.5,,,11.0,2.8,49.4,13.5,,,,,,,11.0,
palmer_WR_LAC,Joshua Palmer,WR,LAC,5.0,132,151,152,777.3,,,,,,0.0,,,,,,,,,61.0,4.7,4.7,,,1.0,
allgeier_RB_ATL,Tyler Allgeier,RB,ATL,12.0,141,163,153,158.5,,,,,,3.5,,,,,,,,,18.0,1.5,561.5,,,1.0,
chiefs_DST_KC,Chiefs,DST,KC,6.0,212,179,154,,,,,,21.0,,0.5,,,10.7,2.9,48.3,13.0,,,,,,,10.7,
chandler_RB_MIN,Ty Chandler,RB,MIN,6.0,133,148,155,170.5,,,,,,4.5,,,,,,,,,22.5,0.5,523.5,,,1.0,
watson_QB_CLE,Deshaun Watson,QB,CLE,10.0,161,175,156,,,14.0,23.7,,,3.0,,,3728.0,,,,,,,,368.3,,,3.5,
bills_DST_BUF,Bills,DST,BUF,12.0,216,200,157,,,,,,21.9,,0.5,,,11.3,3.2,44.8,13.7,,,,,,,11.3,
mayfield_QB_TB,Baker Mayfield,QB,TB,11.0,157,152,158,,,11.5,26.5,,,1.5,,,3913.0,,,,,,,,171.0,,,3.0,
