key,name,pos,team,bye,std,half_ppr,ppr,kick_40_49,two_pts,receptions,df_fumbles,fumbles,pass_yds,df_points_allowed_per_game,df_tds,kick_extra_points,kick_0_19,rush_yds,reception_yds,pass_ints,df_safeties,kick_20_29,reception_tds,kick_50,pass_tds,df_sacks,kick_30_39,rush_tds,df_ints
aubrey_K_DAL,Brandon Aubrey,K,DAL,,423,424,469,10.7,,,,,,,,49.0,0.3,,,,,8.3,,6.1,,,9.4,,
badie_RB_DEN,Tyler Badie,RB,DEN,,428,429,474,,,14.0,,,,,,,,18.0,116.0,,,,1.0,,,,,0.0,
bass_K_BUF,Tyler Bass,K,BUF,,431,432,477,6.2,,,,,,,,46.0,0.2,,,,,8.0,,4.5,,,7.1,,
bates_K_DET,Jake Bates,K,DET,,432,433,478,9.2,,,,,,,,51.0,0.2,,,,,6.6,,6.5,,,9.5,,
bates_TE_WSH,John Bates,TE,WSH,,434,435,480,,,18.5,,1.0,,,,,,0.0,173.5,,,,1.5,,,,,0.0,
beck_RB_NYJ,Andrew Beck,RB,NYJ,,437,438,482,,,5.0,,0.0,,,,,,8.0,35.0,,,,2.0,,,,,0.0,
beckham_WR_NYG,Odell Beckham Jr.,WR,NYG,,438,439,483,,,14.0,,,,,,,,3.0,176.0,,,,1.0,,,,,0.0,
bellinger_TE_TEN,Daniel Bellinger,TE,TEN,,442,443,487,,,25.0,,0.0,,,,,,,314.0,,,,3.0,,,,,,
bentley_TE_DEN,Dallen Bentley,TE,DEN,,446,447,490,,,12.0,,0.0,,,,,,,105.0,,,,1.0,,,,,,
berrios_WR_NYG,Braxton Berrios,WR,NYG,,449,450,493,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,
borregales_K_NE,Andres Borregales,K,NE,,454,455,497,7.2,,,,,,,,42.5,0.4,,,,,7.2,,5.3,,,9.1,,
boswell_K_PIT,Chris Boswell,K,PIT,,455,456,498,9.0,,,,,,,,34.5,0.2,,,,,6.0,,6.3,,,7.1,,
bredeson_RB_MIN,Max Bredeson,RB,MIN,,459,460,502,,,5.0,,,,,,,,8.0,29.0,,,,0.0,,,,,0.0,
buechele_QB_BUF,Shane Buechele,QB,BUF,,480,481,519,,,,,0.0,150.0,,,,,20.0,,0.0,,,,,1.0,,,0.0,
butker_K_KC,Harrison Butker,K,KC,,482,483,521,9.2,,,,,,,,38.0,0.5,,,,,9.6,,6.3,,,10.1,,
conklin_TE_DET,Tyler Conklin,TE,DET,,512,513,544,,,4.0,,,,,,,,0.0,38.0,,,,0.0,,,,,0.0,
cook_QB_NYJ,Brady Cook,QB,NYJ,,516,517,548,,,,,0.0,120.0,,,,,20.0,,1.0,,,,,1.0,,,0.0,
corley_WR_CLE,Malachi Corley,WR,CLE,,519,520,551,,,0.0,,,,,,,,44.0,0.0,,,,0.0,,,,,0.0,
cuevas_TE_BAL,Josh Cuevas,TE,BAL,,525,526,556,,,3.0,,,,,,,,0.0,36.0,,,,0.0,,,,,0.0,
culp_TE_TB,Devin Culp,TE,TB,,526,527,557,,,7.5,,0.0,,,,,,0.0,76.0,,,,1.0,,,,,0.0,
dalton_QB_PHI,Andy Dalton,QB,PHI,,531,532,562,,,,,1.0,140.0,,,,,23.0,,0.0,,,,,1.0,,,0.0,
dicker_K_LAC,Cameron Dicker,K,LAC,,540,541,570,10.4,,,,,,,,39.0,0.3,,,,,7.7,,5.3,,,11.7,,
dillon_RB_CAR,AJ Dillon,RB,CAR,,542,543,572,,,16.0,,5.0,,,,,,500.0,132.0,,,,1.0,,,,,3.0,
dippre_TE_NE,CJ Dippre,TE,NE,,545,546,575,,,4.0,,,,,,,,0.0,36.0,,,,0.0,,,,,0.0,
dobbs_QB_NE,Joshua Dobbs,QB,NE,,547,548,577,,,,,0.0,162.0,,,,,9.0,,0.0,,,,,1.0,,,0.0,
dulin_WR_IND,Ashton Dulin,WR,IND,,556,557,585,,,22.5,,0.0,,,,,,46.0,379.0,,,,1.5,,,,,0.0,
edwards_RB_MIA,Donovan Edwards,RB,MIA,,562,563,590,,,2.0,,0.0,,,,,,130.0,19.0,,,,0.0,,,,,1.0,
ekeler_RB_WSH,Austin Ekeler,RB,WSH,,566,567,594,,,6.0,,0.0,,,,,,150.0,62.0,,,,0.0,,,,,1.0,
elliott_K_PHI,Jake Elliott,K,PHI,,567,568,595,8.6,,,,,,,,41.5,0.2,,,,,5.4,,5.7,,,8.3,,
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,,574,575,601,11.4,,,,,,,,35.5,0.3,,,,,9.0,,8.4,,,10.6,,
fairweather_TE_ARI,Rivaldo Fairweather,TE,ARI,,575,576,602,,,12.0,,0.0,,,,,,,109.0,,,,1.0,,,,,,
firkser_TE_DET,Anthony Firkser,TE,DET,,584,585,610,,,12.0,,0.0,,,,,,,103.0,,,,1.0,,,,,,
