"","name","pos","pts_ppr_cbs","pts_cbs"
"435","Blake Jarwin","TE","71","39"
"436","Virgil Green","TE","70","39"
"437","Jonnu Smith","TE","69","39"
"438","Jermaine Gresham","TE","68","36"
"439","Nick Vannett","TE","67","35"
"440","Jordan Akins","TE","63","34"
"441","Jake Butt","TE","63","33"
"442","Dwayne Allen","TE","60","33"
"443","MarQueis Gray","TE","59","33"
"444","Rhett Ellison","TE","58","30"
"445","Marcedes Lewis","TE","53","29"
"446","Tyler Kroft","TE","53","28"
"447","David Morgan","TE","49","28"
"448","Ed Dickson","TE","49","25"
"449","Josh Hill","TE","47","21"
"450","Jordan Leggett","TE","39","17"
"451","Chris Herndon","TE","39","17"
"452","Darren Fells","TE","31","16"
"453","Rico Gathers","TE","30","15"
"454","Demetrius Harris","TE","29","14"
"455","Gerald Everett","TE","28","14"
"456","Will Dissly","TE","27","13"
"457","Mark Andrews","TE","26","13"
"458","Adam Shaheen","TE","26","10"
"459","Seth DeValve","TE","19","9"
"460","A.J. Derby","TE","19","8"
"461","Dalton Schultz","TE","18","8"
"462","Durham Smythe","TE","18","8"
"463","Ian Thomas","TE","17","8"
"464","Lance Kendricks","TE","16","7"
"465","Troy Niklas","TE","16","7"
"466","Dion Sims","TE","15","7"
"467","Nick Boyle","TE","14","6"
"468","Mychal Rivera","TE","12","5"
"469","Neal Sterling","TE","12","5"
"470","Ben Koyack","TE","12","5"
"471","Jerell Adams","TE","11","4"
"472","Erik Swoope","TE","10","4"
"473","Luke Stocker","TE","10","4"
"474","Brandon Williams","TE","9","4"
"475","Maxx Williams","TE","9","4"
"476","C.J. Uzomah","TE","8","4"
"477","Logan Thomas","TE","8","3"
"478","Xavier Grimble","TE","8","3"
"479","Bucky Hodges","TE","8","3"
"480","Eric Tomlinson","TE","8","3"
"481","Jeremy Sprinkle","TE","7","3"
"482","Jordan Thomas","TE","7","3"
"483","Orson Charles","TE","7","3"
"484","Mason Schreck","TE","6","3"
"485","Jim Dray","TE","6","3"
"486","Tyler Conklin","TE","6","2"
"487","Eric Saubert","TE","6","2"
"488","Gavin Escobar","TE","6","2"
"489","James O'Shaughnessy","TE","6","2"
"490","Daniel Brown","TE","6","2"
"491","Chris Manhertz","TE","6","2"
"492","Antony Auclair","TE","6","2"
"493","Clay Harbor","TE","6","2"
"494","Michael Roberts","TE","6","2"
"495","Derek Carrier","TE","5","2"
"496","Phillip Supernaw","TE","5","1"
"497","Khari Lee","TE","5","1"
"498","Niles Paul","TE","4","1"
"499","Lee Smith","TE","4","0"
"500","Darrell Daniels","TE","4","0"
"501","Levine Toilolo","TE","3","0"
"502","Jacob Hollister","TE","2","0"
"503","Troy Fumagalli","TE","2","0"
"504","Logan Paulsen","TE","2","0"
"505","Lee Smith","TE","4","0"
"506","Darrell Daniels","TE","4","0"
"507","Levine Toilolo","TE","3","0"
"508","Jacob Hollister","TE","2","0"
"509","Troy Fumagalli","TE","2","0"
"510","Logan Paulsen","TE","2","0"
"511","Ben Braunecker","TE","0","0"
"512","Stephen Gostkowski","K","152","156"
"513","Greg Zuerlein","K","147","152"
"514","Harrison Butker","K","146","150"
"515","Robbie Gould","K","145","148"
"516","Chris Boswell","K","137","142"
"517","Jake Elliott","K","136","142"
"518","Justin Tucker","K","135","140"
"519","Matt Bryant","K","134","140"
"520","Wil Lutz","K","132","137"
"521","Adam Vinatieri","K","128","134"
"522","Daniel Carlson","K","126","130"
"523","Graham Gano","K","123","128"
"524","Matt Prater","K","123","125"
"525","Josh Lambo","K","120","123"
"526","Ryan Succop","K","119","121"
"527","Ka'imi Fairbairn","K","117","121"
"528","Brett Maher","K","116","118"
"529","Brandon McManus","K","114","117"
"530","Phil Dawson","K","114","117"
"531","Mason Crosby","K","110","112"
"532","Dustin Hopkins","K","109","110"
"533","Sebastian Janikowski","K","106","109"
"534","Caleb Sturgis","K","104","108"
"535","Mike Nugent","K","103","104"
"536","Chandler Catanzaro","K","98","100"
"537","Aldrick Rosas","K","93","97"
"538","Jason Sanders","K","93","95"
"539","Zane Gonzalez","K","92","95"
"540","Stephen Hauschka","K","90","94"
"541","Randy Bullock","K","85","86"
"542","Cody Parkey","K","83","85"
"543","Jason Myers","K","39","40"
"544","Jaguars","DST","246","246"
"545","Titans","DST","224","224"
"546","Vikings","DST","220","220"
"547","Rams","DST","207","207"
"548","Ravens","DST","201","201"
"549","Chargers","DST","200","200"
"550","Eagles","DST","199","199"
"551","Steelers","DST","196","196"
"552","Broncos","DST","190","190"
"553","Packers","DST","190","190"
"554","Cowboys","DST","185","185"
"555","Falcons","DST","179","179"
"556","Patriots","DST","177","177"
"557","Seahawks","DST","176","176"
"558","Cardinals","DST","173","173"
"559","Bears","DST","163","163"
"560","Panthers","DST","161","161"
"561","Bills","DST","159","159"
"562","Redskins","DST","157","157"
"563","Texans","DST","153","153"
"564","Saints","DST","153","153"
"565","Chiefs","DST","150","150"
"566","Lions","DST","147","147"
"567","Raiders","DST","144","144"
"568","Buccaneers","DST","139","139"
"569","49ers","DST","139","139"
"570","Dolphins","DST","138","138"
"571","Jets","DST","138","138"
"572","Colts","DST","136","136"
"573","Giants","DST","128","128"
"574","Bengals","DST","127","127"
