"","name","pos","pts_fox"
"1100","Josh Lambo","K","99.3"
"1101","Mike Nugent","K","91.8"
"1102","Cody Parkey","K","85.8"
"1103","Robbie Gould","K","70.9"
"1104","Blair Walsh","K","64.1"
"1105","Kai Forbath","K","51.4"
"1106","Josh Brown","K","38.2"
"1107","Randy Bullock","K","36.8"
"1108","Patrick Murray","K","19.5"
"1123","Denver","DST","118.6"
"1124","New England","DST","108.4"
"1125","Kansas City","DST","105.1"
"1126","Oakland","DST","104.7"
"1127","Minnesota","DST","104.5"
"1128","Philadelphia","DST","99.7"
"1129","Baltimore","DST","98.5"
"1130","Carolina","DST","97.1"
"1131","Green Bay","DST","95.9"
"1132","Houston","DST","95.8"
"1133","Los Angeles","DST","94.6"
"1134","Cincinnati","DST","90.4"
"1135","Seattle","DST","90.3"
"1136","Dallas","DST","89.8"
"1137","Tennessee","DST","89.7"
"1138","Washington","DST","89.6"
"1139","Arizona","DST","87.8"
"1140","Pittsburgh","DST","87.5"
"1141","Atlanta","DST","87.1"
"1142","Detroit","DST","86.9"
"1143","Buffalo","DST","85.8"
"1144","Tampa Bay","DST","85.1"
"1145","Miami","DST","84.8"
"1146","Indianapolis","DST","79.7"
"1147","New York","DST","78.6"
"1148","Los Angeles","DST","75.0"
"1149","Chicago","DST","74.8"
"1150","New York","DST","72.0"
"1151","Jacksonville","DST","68.8"
"1152","New Orleans","DST","63.2"
"1153","San Francisco","DST","57.3"
"1154","Cleveland","DST","56.7"
