key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
hall_WR_MIN,Justin Hall,WR,MIN,,,,,,,,,,,,,,,,,,,,,,
ham_RB_MIN,C.J. Ham,RB,MIN,,,,,,,,,,,,,,,,,,,,,,
harley_WR_MIA,Mike Harley Jr.,WR,MIA,,,,,,,,,,,,,,,,,,,,,,
harmon_WR_DAL,Kelvin Harmon,WR,DAL,,,,,,,,,,,,,,,,,,,,,,
harrell_WR_NYJ,Tyler Harrell,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,
harris_TE_PHI,Jacob Harris,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
harrison_WR_TEN,Tre'Shaun Harrison,WR,TEN,,,,,,,,,,,,,,,,,,,,,,
harry_WR_MIN,N'Keal Harry,WR,MIN,,,,,,,,,,,,,,,,,,,,,,
hatten_WR_SEA,Hayden Hatten,WR,SEA,,,,,,,,,,,,,,,,,,,,,,
hebert_WR_PHI,Griffin Hebert,WR,PHI,,,,,,,,,,,,,,,,,,,,,,
heins_TE_LAC,Zach Heins,TE,LAC,,,,,,,,,,,,,,,,,,,,,,
hesse_TE_DET,Parker Hesse,TE,DET,,,,,,,,,,,,,,,,,,,,,,
hicks_WR_GB,Julian Hicks,WR,GB,,,,,,,,,,,,,,,,,,,,,,
hiliare_WR_ATL,OJ Hiliare,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
hill_TE_MIA,Julian Hill,TE,MIA,,,,,,,,,,,,,,,,,,,,,,
hodge_WR_ATL,KhaDarel Hodge,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
holani_RB_SEA,George Holani,RB,SEA,,,,,,,,,,,,,,,,,,,,,,
holler_TE_DAL,Alec Holler,TE,DAL,,,,,,,,,,,,,,,,,,,,,,
hollister_TE_CAR,Jacob Hollister,TE,CAR,,,,,,,,,,,,,,,,,,,,,,
horsted_TE_CAR,Jesper Horsted,TE,CAR,,,,,,,,,,,,,,,,,,,,,,
horvath_RB_MIA,Zander Horvath,RB,MIA,,,,,,,,,,,,,,,,,,,,,,
houston_WR_NYG,Dennis Houston,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
howard_RB_GB,Jarveon Howard,RB,GB,,,,,,,,,,,,,,,,,,,,,,
humphrey_WR_DEN,Lil'Jordan Humphrey,WR,DEN,,,,,,,,,,,,,,,,,,,,,,
ibrahim_RB_MIN,Mohamed Ibrahim,RB,MIN,,,,,,,,,,,,,,,,,,,,,,
ingold_RB_MIA,Alec Ingold,RB,MIA,,,,,,,,,,,,,,,,,,,,,,
isabella_WR_BUF,Andy Isabella,WR,BUF,,,,,,,,,,,,,,,,,,,,,,
ismail_WR_BAL,Qadir Ismail,WR,BAL,,,,,,,,,,,,,,,,,,,,,,
jackson_RB_NYJ,Deon Jackson,RB,NYJ,,,,,,,,,,,,,,,,,,,,,,
jackson_RB_JAX,Jalen Jackson,RB,JAX,,,,,,,,,,,,,,,,,,,,,,
jackson_WR_NE,JaQuae Jackson,WR,NE,,,,,,,,,,,,,,,,,,,,,,
jackson_WR_CHI,John Jackson,WR,CHI,,,,,,,,,,,,,,,,,,,,,,
jackson_WR_MIN,Lucky Jackson,WR,MIN,,,,,,,,,,,,,,,,,,,,,,
jackson_WR_CIN,Shedrick Jackson,WR,CIN,,,,,,,,,,,,,,,,,,,,,,
jacobson_TE_NO,Michael Jacobson,TE,NO,,,,,,,,,,,,,,,,,,,,,,
janke_WR_MIA,Jadon Janke,WR,MIA,,,,,,,,,,,,,,,,,,,,,,
jefferson_RB_DET,Jermar Jefferson,RB,DET,,,,,,,,,,,,,,,,,,,,,,
jefferson_RB_TB,Ramon Jefferson,RB,TB,,,,,,,,,,,,,,,,,,,,,,
jenkins_TE_PHI,E.J. Jenkins,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
jenkins_WR_PIT,Jaray Jenkins,WR,PIT,,,,,,,,,,,,,,,,,,,,,,
jennings_RB_NE,Terrell Jennings,RB,NE,,,,,,,,,,,,,,,,,,,,,,
jiles_WR_NYG,John Jiles,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_DAL,Cam Johnson,WR,DAL,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_TB,Cephus Johnson III,WR,TB,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_CHI,Collin Johnson,WR,CHI,,,,,,,,,,,,,,,,,,,,,,
johnson_RB_NYG,Jakob Johnson,RB,NYG,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_HOU,Johnny Johnson III,WR,HOU,,,,,,,,,,,,,,,,,,,,,,
johnson_QB_BAL,Josh Johnson,QB,BAL,,,,,,,,,,,,,,,,,,,,,,
johnson_TE_MIN,Neal Johnson,TE,MIN,,,,,,,,,,,,,,,,,,,,,,
