"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"121","Kenneth Dixon","RB","Ravens",-21,0,66,87,83,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17906.png",10
"312","O.J. Howard","TE","Buccaneers",-21,177,59,80,79,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18322.png",5
"330","Austin Hooper","TE","Falcons",-21,0,59,80,72,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17861.png",8
"391","Graham Gano","K","Panthers",-21,213,122,142,122,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12460.png",4
"49","Chris Ivory","RB","Bills",-22,0,65,87,74,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13587.png",11
"71","Christine Michael","RB","Colts",-22,0,65,87,84,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15855.png",9
"153","Brandon LaFell","WR","Bengals",-22,0,79,101,94,79,NA,9
"225","Jermaine Kearse","WR","Jets",-22,0,79,101,95,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15428.png",11
"375","Chandler Catanzaro","K","Buccaneers",-22,0,120,142,120,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17169.png",5
"28","Derek Carr","QB","Raiders",-23,132,192,214,250,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16757.png",7
"390","Mason Crosby","K","Packers",-23,209,120,142,120,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10636.png",7
"267","Cameron Meredith","WR","Saints",-24,182,78,101,93,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17750.png",6
"381","Dan Bailey","K","Cowboys",-24,204,119,142,119,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14322.png",8
"396","Sam Ficken","K","Rams",-24,0,119,142,119,72,NA,12
"57","Peyton Barber","RB","Buccaneers",-25,135,62,87,79,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18106.png",5
"196","Cole Beasley","WR","Cowboys",-25,0,76,101,92,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15349.png",8
"209","Calvin Ridley","WR","Falcons",-25,117,76,101,92,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18584.png",8
