name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
ryan_switzer,WR,7.0,3.0,12.05,,
russell_gage,WR,7.0,3.0,22.78,,
marcus_johnson,WR,7.0,3.0,17.15,,
auden_tate,WR,7.0,3.0,28.0,,
shelton_gibson,WR,7.0,3.0,7.05,,
freddie_martino,WR,7.0,3.0,9.46,6.5,
javon_wims,WR,7.0,3.0,,,
tommylee_lewis,WR,6.0,3.0,6.68,5.2,
ray-ray_mccloud,WR,6.0,2.0,,,
maurice_harris,WR,6.0,2.0,10.94,10.1,
chris_matthews,WR,6.0,2.0,,,
darrius_heyward-bey,WR,6.0,2.0,4.01,32.2,
jd_mckissic,WR,6.0,2.0,36.54,,
shane_wynn,WR,6.0,2.0,,,
cody_core,WR,5.0,2.0,0.0,6.7,
trevor_davis,WR,5.0,2.0,13.11,,
pharoh_cooper,WR,4.0,1.0,14.06,18.9,
marvin_hall,WR,4.0,1.0,9.21,,
brittan_golden,WR,4.0,1.0,,11.3,
jeff_janis,WR,4.0,1.0,,12.8,
chris_thompson,WR,3.0,1.0,,,
noah_brown,WR,3.0,1.0,0.0,,
jordan_taylor,WR,3.0,1.0,,15.6,
andre_roberts,WR,3.0,0.0,0.56,22.6,
ced_wilson,WR,3.0,0.0,,,
arrelious_benn,WR,3.0,0.0,0.0,13.4,
ardarius_stewart,WR,2.0,0.0,,,
kalif_raymond,WR,2.0,0.0,,,
dwayne_harris,WR,1.0,0.0,3.79,25.5,
vince_mayle,WR,1.0,0.0,,,
isaiah_mckenzie,WR,0.0,0.0,18.8,,
justin_hardee,WR,0.0,0.0,0.0,,
eric_weems,WR,0.0,-1.0,,2.7,
travis_kelce,TE,229.0,141.0,137.91,119.3,217.3
rob_gronkowski,TE,214.0,139.0,159.93,100.1,251.1
zach_ertz,TE,186.0,111.0,121.99,90.4,212.1
evan_engram,TE,162.0,95.0,109.94,,
delanie_walker,TE,162.0,94.0,115.81,127.3,
jordan_reed,TE,162.0,94.0,96.78,96.0,
kyle_rudolph,TE,161.0,93.0,86.82,76.8,
jimmy_graham,TE,159.0,91.0,89.74,98.9,
trey_burton,TE,156.0,90.0,76.05,27.0,
greg_olsen,TE,146.0,86.0,112.31,144.8,
jack_doyle,TE,144.0,83.0,99.61,63.0,
george_kittle,TE,141.0,82.0,94.91,,
