key,name,pos,team,bye,adp,rush_yds,kick_50,df_ints,fumbles,df_safeties,reception_yds,receptions,pass_yds,kick_40_49,kick_30_39,df_points_allowed_per_game,reception_tds,kick_0_19,df_tds,df_fumbles,rush_tds,pass_ints,df_sacks,kick_extra_points,kick_20_29,pass_tds,two_pts
minshew_QB_JAC,Gardner Minshew,QB,JAC,,-1.0,3.0,,,0.0,,,,119.0,,,,,,,,0.0,0.0,,,,1.0,
minshew_QB_JAX,Gardner Minshew,QB,JAX,,-1.0,6.6,,,0.1,,,,295.8,,,,,,,,0.1,1.5,,,,1.0,0.6
moreau_TE_OAK,Foster Moreau,TE,OAK,,-1.0,0.4,,,0.0,,105.3,10.4,,,,,0.6,,,,0.0,,,,,,
morgan_TE_MIN,David Morgan,TE,MIN,,-1.0,0.2,,,0.0,,51.5,5.9,,,,,0.4,,,,0.0,,,,,,
mostert_RB_SF,Raheem Mostert,RB,SF,,-1.0,133.8,,,0.6,,29.8,3.9,,,,,0.2,,,,1.0,,,,,,0.0
mullens_QB_SF,Nick Mullens,QB,SF,,-1.0,1.3,,,0.0,,,,160.6,,,,,,,,0.0,0.7,,,,0.9,0.6
mundt_TE_LAR,Johnny Mundt,TE,LAR,,-1.0,0.4,,,,,30.1,2.5,,,,,0.3,,,,,,,,,,
murphy_K_ARI,Cole Murphy,K,ARI,,-1.0,,,,,,,,,,,,,,,,,,,0.0,,,
natson_WR_LAR,JoJo Natson,WR,LAR,,-1.0,4.0,,,0.0,,19.1,0.3,,,,,0.0,,0.0,,0.0,,,,,,
nauta_TE_DET,Isaac Nauta,TE,DET,,-1.0,0.0,,,0.0,,74.0,8.0,,,,,0.5,,,,0.0,,,,,,
nelson_WR_OAK,J.J. Nelson,WR,OAK,,-1.0,28.1,,,0.0,,186.5,11.7,,,,,0.9,,0.0,,0.1,,,,,,1.5
nix_RB_PIT,Roosevelt Nix,RB,PIT,,-1.0,1.6,,,0.0,,26.0,3.9,,,,,0.1,,,,0.1,,,,,,0.0
nugent_K_OAK,Mike Nugent,K,OAK,,-1.0,,,,,,,,,,,,,,,,,,,0.0,,,
ogunbowale_RB_TB,Dare Ogunbowale,RB,TB,,-1.0,71.6,,,0.1,,93.2,10.7,,,,,0.5,,,,0.6,,,,,,0.0
olawale_RB_DAL,Jamize Olawale,RB,DAL,,-1.0,0.5,,,,,31.3,4.0,,,,,0.1,,,,0.0,,,,,,
oleary_TE_MIA,Nick O'Leary,TE,MIA,,-1.0,0.4,,,,,110.1,12.8,,,,,0.9,,,,,,,,,,
oliver_TE_JAX,Josh Oliver,TE,JAX,,-1.0,0.6,,,,,165.2,13.9,,,,,0.9,,,,0.0,,,,,,
ortiz_RB_ATL,Ricky Ortiz,RB,ATL,,-1.0,2.0,,,0.0,,22.3,3.4,,,,,0.1,,,,0.0,,,,,,0.0
oshaughnessy_TE_JAC,James O'Shaughnessy,TE,JAC,,-1.0,,,,0.0,,240.0,25.0,,,,,1.0,,,,,,,,,,
oshaughnessy_TE_JAX,James O'Shaughnessy,TE,JAX,,-1.0,0.2,,,,,178.3,18.2,,,,,1.1,,,,0.0,,,,,,
pascal_WR_IND,Zach Pascal,WR,IND,,-1.0,8.3,,,0.0,,88.1,6.4,,,,,0.3,,,,0.0,,,,,,
paulsen_TE_ATL,Logan Paulsen,TE,ATL,,-1.0,0.2,,,0.0,,95.3,9.5,,,,,0.8,,,,0.0,,,,,,
peake_WR_NYJ,Charone Peake,WR,NYJ,,-1.0,0.9,,,,,24.8,,,,,,0.0,,,,,,,,,,
penny_RB_NYG,Elijhaa Penny,RB,NYG,,-1.0,17.0,,,,,71.0,8.0,,,,,0.0,,,,0.0,,,,,,
perkins_RB_NYG,Paul Perkins,RB,NYG,,-1.0,111.0,,,,,34.0,4.0,,,,,0.0,,,,1.0,,,,,,
perkins_TE_PHI,Josh Perkins,TE,PHI,,-1.0,0.0,,,,,21.0,2.0,,,,,0.0,,,,0.0,,,,,,
peterson_RB_WSH,Adrian Peterson,RB,WSH,,-1.0,399.0,,,,,51.0,7.0,,,,,0.0,,,,2.0,,,,,,
prosise_RB_SEA,C.J. Prosise,RB,SEA,,-1.0,100.1,,,0.1,,116.2,11.6,,,,,0.7,,,,0.6,,,,,,0.0
