key,name,pos,team,bye,std,half_ppr,ppr,fumbles,df_points_allowed_per_game,kick_30_39,pass_tds,reception_tds,kick_extra_points,df_fumbles,kick_50,df_tds,df_ints,two_pts,df_sacks,kick_40_49,rush_tds,pass_yds,kick_0_19,receptions,reception_yds,pass_ints,df_safeties,rush_yds,kick_20_29
bills_DST_BUF,Bills,DST,BUF,7.0,134.0,160.3,143.6,10.6,21.8,,,,,10.6,,2.0,15.5,,40.9,,,,,,,,0.4,,
mayfield_QB_CLE,Baker Mayfield,QB,CLE,13.0,135.0,141.8,136.0,1.9,,,29.8,,,,,,,1.1,,,2.1,4151.1,,,,14.5,,218.1,
mooney_WR_CHI,Darnell Mooney,WR,CHI,10.0,136.8,136.3,124.2,0.5,,,,5.0,,,,,,,,,0.0,,,71.7,805.9,0.0,,19.9,
murray_RB_NO,Latavius Murray,RB,NO,6.0,137.0,148.0,165.6,1.0,,,,0.9,,,,,,,,,2.5,,,23.1,164.5,,,416.5,
ers_DST_SF,49ers,DST,SF,6.0,138.0,130.0,141.0,11.3,22.7,,,,,11.3,,1.8,14.3,,42.8,,,,,,,,0.3,,
jones_WR_JAX,Marvin Jones Jr.,WR,JAX,7.0,138.3,142.0,123.4,1.0,,,,7.6,,,,,,,,,0.0,,,79.6,1057.3,0.0,,0.9,
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,13.0,138.3,167.0,177.2,1.1,,,,0.5,,,,,,0.0,,,2.3,,,15.0,123.4,,,267.3,
koo_K_ATL,Younghoe Koo,K,ATL,6.0,138.5,132.8,142.2,,,9.8,,,42.2,,5.0,,,,,8.5,,,0.2,,,,,,8.4
fields_QB_CHI,Justin Fields,QB,CHI,10.0,139.5,149.5,139.2,1.6,,,15.0,,,,,,,0.6,,,2.8,2513.5,,,,10.2,,352.5,
hines_RB_IND,Nyheim Hines,RB,IND,14.0,139.5,137.8,127.4,1.0,,,,1.9,,,,0.5,,,,,2.4,,,48.5,386.8,,,344.4,
mattison_RB_MIN,Alexander Mattison,RB,MIN,7.0,141.3,151.0,155.6,1.2,,,,0.8,,,,,,0.0,,,3.2,,,14.6,121.3,,,520.3,
lance_QB_SF,Trey Lance,QB,SF,6.0,142.8,152.3,143.2,1.1,,,14.6,,,,,,,0.6,,,3.2,2358.6,,,,9.5,,397.8,
herndon_TE_MIN,Chris Herndon IV,TE,MIN,7.0,143.0,272.0,284.0,3.0,,,,3.6,,,,,,,,,0.0,,,29.5,332.0,,,0.4,
smith_TE_NE,Jonnu Smith,TE,NE,14.0,144.3,157.0,126.2,0.5,,,,4.7,,,,,,,,,0.0,,,55.7,563.0,0.0,,16.9,
henry_TE_NE,Hunter Henry,TE,NE,14.0,146.3,163.3,156.2,1.0,,,,3.2,,,,,,,,,0.0,,,44.0,478.5,,,0.6,
parker_WR_MIA,DeVante Parker,WR,MIA,14.0,148.0,164.0,146.2,1.0,,,,5.1,,,,,,,,,0.0,,,65.0,866.8,0.0,,0.3,
mckissic_RB_WSH,J.D. McKissic,RB,WSH,9.0,148.8,161.0,141.0,1.0,,,,2.0,,,,,,,,,2.0,,,56.7,433.9,,,322.8,
bass_K_BUF,Tyler Bass,K,BUF,7.0,150.5,139.0,155.4,,,7.9,,,43.5,,5.0,,,,,8.1,,,0.3,,,,,,8.9
coleman_RB_NYJ,Tevin Coleman,RB,NYJ,6.0,151.3,167.3,176.4,2.0,,,,0.9,,,,,,,,,3.0,,,20.8,158.8,0.0,,465.6,
penny_RB_SEA,Rashaad Penny,RB,SEA,9.0,152.3,172.8,187.4,0.8,,,,0.8,,,,,,0.0,,,3.6,,,12.2,95.4,,,426.8,
moore_WR_NYJ,Elijah Moore,WR,NYJ,6.0,152.3,157.5,149.0,1.0,,,,4.0,,,,,,,,,0.0,,,56.3,786.2,0.0,,15.4,
beasley_WR_BUF,Cole Beasley,WR,BUF,7.0,153.3,156.5,146.4,1.0,,,,4.8,,,,,,,,,0.0,,,76.7,884.1,0.0,,0.5,
colts_DST_IND,Colts,DST,IND,14.0,153.8,166.0,154.2,11.5,22.7,,,,,11.5,,2.4,14.4,,42.2,,,,,,,,0.4,,
