key,name,pos,team,bye,std,half_ppr,ppr,df_ints,rush_tds,two_pts,fumbles,kick_20_29,pass_yds,kick_extra_points,df_points_allowed_per_game,kick_50,df_safeties,pass_tds,reception_tds,rush_yds,receptions,df_fumbles,kick_40_49,pass_ints,reception_yds,df_tds,kick_30_39,df_sacks,kick_0_19
moore_WR_BAL,Jaylon Moore,WR,BAL,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.3,7.5,16.8,,,,202.8,,,,
moore_WR_CHI,David Moore,WR,CHI,,-1.0,-1.0,-1.0,,0.2,,0.0,,,,,,,,0.5,21.6,8.1,,,,94.7,,,,
moore_WR_HOU,Chris Moore,WR,HOU,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,16.0,,,,172.0,,,,
moore_WR_LAC,Jason Moore Jr.,WR,LAC,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,2.0,,,,21.0,,,,
morgan_WR_CIN,Stanley Morgan,WR,CIN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,2.0,,,,20.0,,,,
moss_TE_CIN,Thaddeus Moss,TE,CIN,,-1.0,-1.0,-1.0,,,,,,,,,,,,0.3,0.7,3.2,,,,18.9,,,,
mullens_QB_LV,Nick Mullens,QB,LV,,-1.0,-1.0,-1.0,,0.0,1.3,0.5,,140.8,,,,,0.7,,2.5,,,,0.8,,,,,
mundt_TE_MIN,Johnny Mundt,TE,MIN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,8.0,,,,79.0,,,,
muse_TE_MIN,Nick Muse,TE,MIN,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,7.0,,,,70.5,,,,
myarick_TE_NYG,Chris Myarick,TE,NYG,,-1.0,-1.0,-1.0,,,,,,,,,,,,0.4,0.7,3.6,,,,58.7,,,,
