key,name,pos,team,bye,std,half_ppr,ppr
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,13,138.3,167.0,177.2
gage_WR_ATL,Russell Gage,WR,ATL,6,176.8,159.0,150.2
zuerlein_K_DAL,Greg Zuerlein,K,DAL,7,179.5,161.3,170.6
henry_TE_NE,Hunter Henry,TE,NE,14,146.3,163.3,156.2
succop_K_TB,Ryan Succop,K,TB,9,180.8,174.3,173.6
agholor_WR_NE,Nelson Agholor,WR,NE,14,180.8,175.8,179.2
broncos_DST_DEN,Broncos,DST,DEN,11,182.8,169.0,176.4
coleman_RB_NYJ,Tevin Coleman,RB,NYJ,6,151.3,167.3,176.4
penny_RB_SEA,Rashaad Penny,RB,SEA,9,152.3,172.8,187.4
moore_WR_NYJ,Elijah Moore,WR,NYJ,6,152.3,157.5,149.0
watson_QB_HOU,Deshaun Watson,QB,HOU,10,185.3,194.8,198.2
browns_DST_CLE,Browns,DST,CLE,13,192.0,181.8,176.2
ingram_RB_HOU,Mark Ingram II,RB,HOU,10,192.8,200.3,204.8
green_WR_ARI,A.J. Green,WR,ARI,12,193.3,179.8,190.8
hilton_WR_IND,T.Y. Hilton,WR,IND,14,193.8,185.3,186.4
dolphins_DST_MIA,Dolphins,DST,MIA,14,194.3,204.0,187.8
freiermuth_TE_PIT,Pat Freiermuth,TE,PIT,7,168.3,177.3,220.0
meyers_WR_NE,Jakobi Meyers,WR,NE,14,169.0,163.5,157.2
carlson_K_LV,Daniel Carlson,K,LV,8,202.3,216.7,209.0
bernard_RB_TB,Giovani Bernard,RB,TB,9,178.3,172.3,174.6
shepard_WR_NYG,Sterling Shepard,WR,NYG,10,179.3,181.0,179.4
crosby_K_GB,Mason Crosby,K,GB,13,204.5,201.3,204.6
moore_WR_ARI,Rondale Moore,WR,ARI,12,180.3,174.3,176.2
edwards_WR_LV,Bryan Edwards,WR,LV,8,180.3,180.0,220.8
marshall_WR_CAR,Terrace Marshall Jr.,WR,CAR,13,181.0,174.3,177.2
jones_QB_NE,Mac Jones,QB,NE,14,182.3,169.3,196.0
fitzpatrick_QB_WSH,Ryan Fitzpatrick,QB,WSH,9,182.3,195.5,187.8
carr_QB_LV,Derek Carr,QB,LV,8,183.0,184.0,183.8
gould_K_SF,Robbie Gould,K,SF,6,212.3,208.0,232.8
