,name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_2018
467,mychal_rivera,TE,12.0,5.0,,23.9,
468,neal_sterling,TE,12.0,5.0,,,
469,ben_koyack,TE,12.0,5.0,0.0,21.8,
470,jerell_adams,TE,11.0,4.0,0.0,16.7,
471,erik_swoope,TE,10.0,4.0,17.43,4.0,
472,luke_stocker,TE,10.0,4.0,5.21,13.2,
473,brandon_williams,TE,9.0,4.0,,,
474,maxx_williams,TE,9.0,4.0,15.38,,
475,cj_uzomah,TE,8.0,4.0,17.72,22.6,
476,logan_thomas,TE,8.0,3.0,7.87,,
477,xavier_grimble,TE,8.0,3.0,9.06,19.6,
478,bucky_hodges,TE,8.0,3.0,0.0,,
479,eric_tomlinson,TE,8.0,3.0,19.18,,
480,jeremy_sprinkle,TE,7.0,3.0,5.82,,
481,jordan_thomas,TE,7.0,3.0,12.85,,
482,orson_charles,TE,7.0,3.0,,,
483,mason_schreck,TE,6.0,3.0,,,
484,jim_dray,TE,6.0,3.0,,2.2,
485,tyler_conklin,TE,6.0,2.0,14.13,,
486,eric_saubert,TE,6.0,2.0,5.83,,
