key,name,pos,team,bye,std,half_ppr,ppr
berrios_WR_MIA,Braxton Berrios,WR,MIA,6,,,277.0
bigsby_RB_JAX,Tank Bigsby,RB,JAX,12,233.0,232.5,228.5
bills_DST_BUF,Bills,DST,BUF,12,225.0,201.3,171.0
billyjohnson_WR_DAL,Tyron Billy-Johnson,WR,DAL,7,,,398.0
blackshear_RB_CAR,Raheem Blackshear,RB,CAR,11,,,428.0
bobo_WR_SEA,Jake Bobo,WR,SEA,10,,,282.0
boswell_K_PIT,Chris Boswell,K,PIT,9,,164.0,186.5
bourne_WR_NE,Kendrick Bourne,WR,NE,14,276.0,276.0,243.0
bowers_TE_LV,Brock Bowers,TE,LV,10,95.5,102.3,102.8
boyd_WR_TEN,Tyler Boyd,WR,TEN,5,256.5,256.5,247.0
boyle_QB_HOU,Tim Boyle,QB,HOU,14,,,496.0
brissett_QB_NE,,,,,203.0,203.0,
broncos_DST_DEN,Broncos,DST,DEN,14,,222.0,164.0
brooks_RB_CAR,Jonathon Brooks,RB,CAR,11,84.0,91.7,81.6
brooks_WR_DAL,Jalen Brooks,WR,DAL,7,,,383.0
brown_K_LAR,Tanner Brown,K,LAR,6,,,271.0
brown_RB_CIN,Chase Brown,RB,CIN,12,118.0,123.0,124.4
brown_TE_SEA,Pharaoh Brown,TE,SEA,10,,,416.0
brown_WR_DET,Amon-Ra St. Brown,WR,DET,5,6.5,7.3,6.8
brown_WR_HOU,Noah Brown,WR,HOU,14,,,351.0
brown_WR_KC,Hollywood Brown,WR,KC,6,84.0,84.3,88.4
brown_WR_NO,Equanimeous St. Brown,WR,NO,12,,,422.0
brown_WR_PHI,A.J. Brown,WR,PHI,5,9.5,9.7,10.0
browning_QB_CIN,Jake Browning,QB,CIN,12,,,336.0
browns_DST_CLE,Browns,DST,CLE,10,201.5,166.0,134.4
buccaneers_DST_TB,Buccaneers,DST,TB,11,237.0,226.0,203.8
burks_WR_TEN,Treylon Burks,WR,TEN,5,310.0,292.0,295.0
burrow_QB_CIN,Joe Burrow,QB,CIN,12,64.0,61.0,61.0
burton_RB_DEN,Michael Burton,RB,DEN,14,,,420.0
burton_WR_CIN,Jermaine Burton,WR,CIN,12,187.5,187.5,200.3
butker_K_KC,Harrison Butker,K,KC,6,203.0,164.7,127.2
bynum_WR_LV,Terrell Bynum,WR,LV,10,,,393.0
calcaterra_TE_PHI,Grant Calcaterra,TE,PHI,5,,,432.0
campbell_WR_PHI,Parris Campbell,WR,PHI,5,,,286.0
cardinals_DST_ARI,Cardinals,DST,ARI,11,,,183.0
carlson_K_GB,Anders Carlson,K,GB,10,,,248.0
carlson_K_LV,Daniel Carlson,K,LV,10,261.5,237.3,201.8
carr_QB_NO,Derek Carr,QB,NO,12,185.0,184.5,216.8
carter_WR_CHI,DeAndre Carter,WR,CHI,7,,,386.0
chandler_RB_MIN,Ty Chandler,RB,MIN,6,137.0,153.7,157.2
charbonnet_RB_SEA,Zach Charbonnet,RB,SEA,10,122.5,133.0,131.4
chargers_DST_LAC,Chargers,DST,LAC,5,304.5,288.5,205.0
chark_WR_LAC,DJ Chark Jr.,WR,LAC,5,259.0,259.0,253.0
chase_WR_CIN,Ja'Marr Chase,WR,CIN,12,6.5,5.7,6.0
chiefs_DST_KC,Chiefs,DST,KC,6,222.5,180.3,158.4
chubb_RB_CLE,Nick Chubb,RB,CLE,10,88.0,87.3,89.6
claypool_WR_BUF,Chase Claypool,WR,BUF,12,280.0,272.0,446.0
clifford_QB_GB,Sean Clifford,QB,GB,10,,,399.0
coleman_WR_BUF,Keon Coleman,WR,BUF,12,105.5,116.3,105.4
collins_WR_HOU,Nico Collins,WR,HOU,14,28.0,30.7,30.8
colts_DST_IND,Colts,DST,IND,14,278.0,250.3,216.2
commanders_DST_WSH,Commanders,DST,WSH,14,220.0,225.0,212.3
conklin_TE_NYJ,Tyler Conklin,TE,NYJ,12,179.0,180.3,202.8
conner_RB_ARI,James Conner,RB,ARI,11,61.5,60.3,60.4
cook_RB_BUF,James Cook,RB,BUF,12,38.0,39.3,33.8
cooks_WR_DAL,Brandin Cooks,WR,DAL,7,148.0,151.3,166.0
cooper_WR_CLE,Amari Cooper,WR,CLE,10,56.0,54.0,56.8
corley_WR_NYJ,Malachi Corley,WR,NYJ,12,232.5,232.5,182.3
corum_RB_LAR,Blake Corum,RB,LAR,6,110.0,119.0,121.8
cousins_QB_ATL,Kirk Cousins,QB,ATL,12,129.5,134.0,146.0
covey_WR_PHI,Britain Covey,WR,PHI,5,,,403.0
cowboys_DST_DAL,Cowboys,DST,DAL,7,181.0,149.3,131.0
cracraft_WR_MIA,River Cracraft,WR,MIA,6,,,397.0
dallas_RB_ARI,DeeJay Dallas,RB,ARI,11,,,365.0
dalton_QB_CAR,Andy Dalton,QB,CAR,11,,,288.0
daniels_QB_WSH,Jayden Daniels,QB,WSH,14,107.0,109.3,111.8
darnold_QB_MIN,Sam Darnold,QB,MIN,6,255.0,248.5,271.5
davis_RB_BUF,Ray Davis,RB,BUF,12,165.5,165.5,179.3
davis_WR_JAX,Gabe Davis,WR,JAX,12,144.5,159.3,169.8
davis_WR_LAC,Derius Davis,WR,LAC,5,,,377.0
davisprice_RB_PHI,Tyrion Davis-Price,RB,PHI,5,,,486.0
dell_WR_HOU,Tank Dell,WR,HOU,14,66.0,65.0,63.0
devito_QB_NYG,Tommy DeVito,QB,NYG,11,,,312.0
dicker_K_LAC,Cameron Dicker,K,LAC,5,255.0,240.7,184.4
diggs_WR_HOU,Stefon Diggs,WR,HOU,14,34.0,37.3,37.6
dillon_RB_GB,AJ Dillon,RB,GB,10,234.5,204.7,231.5
dissly_TE_LAC,Will Dissly,TE,LAC,5,,,488.0
dobbins_RB_LAC,J.K. Dobbins,RB,LAC,5,129.5,143.3,132.4
dobbs_QB_SF,Joshua Dobbs,QB,SF,9,,,264.0
dolphins_DST_MIA,Dolphins,DST,MIA,6,218.5,181.3,167.8
dortch_WR_ARI,Greg Dortch,WR,ARI,11,239.0,239.0,322.7
dotson_WR_WSH,Jahan Dotson,WR,WSH,14,149.5,157.7,186.4
doubs_WR_GB,Romeo Doubs,WR,GB,10,133.5,151.0,143.6
douglas_WR_NE,DeMario Douglas,WR,NE,14,185.5,185.5,194.4
dowdle_RB_DAL,Rico Dowdle,RB,DAL,7,135.5,151.0,160.6
downs_WR_IND,Josh Downs,WR,IND,14,148.5,151.3,178.6
dulcich_TE_DEN,Greg Dulcich,TE,DEN,14,233.5,233.5,329.0
duvernay_WR_JAX,Devin Duvernay,WR,JAX,12,,,471.0
eagles_DST_PHI,Eagles,DST,PHI,5,234.5,207.0,182.4
edwards_RB_LAC,Gus Edwards,RB,LAC,5,114.5,114.7,111.4
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,6,199.0,199.0,214.4
ekeler_RB_WSH,Austin Ekeler,RB,WSH,14,90.0,93.7,89.2
elliott_K_PHI,Jake Elliott,K,PHI,5,218.5,182.7,154.8
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,7,109.0,109.3,109.0
engram_TE_JAX,Evan Engram,TE,JAX,12,70.5,71.0,65.4
ers_DST_SF,49ers,DST,SF,9,171.0,135.3,115.0
ertz_TE_WSH,Zach Ertz,TE,WSH,14,239.5,239.5,236.3
eskridge_WR_SEA,Dee Eskridge,WR,SEA,10,,,440.0
estime_RB_DEN,Audric Estime,RB,DEN,14,194.5,194.5,253.8
etienne_RB_JAX,Travis Etienne Jr.,RB,JAX,12,17.5,18.7,19.0
evans_RB_BUF,Darrynton Evans,RB,BUF,12,,,447.0
evans_RB_CIN,Chris Evans,RB,CIN,12,,,429.0
evans_WR_TB,Mike Evans,WR,TB,11,34.0,31.7,31.0
everett_TE_CHI,Gerald Everett,TE,CHI,7,,,285.0
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,14,225.0,183.7,163.2
falcons_DST_ATL,Falcons,DST,ATL,12,,,235.5
fant_TE_SEA,Noah Fant,TE,SEA,10,202.0,203.0,239.8
ferguson_TE_DAL,Jake Ferguson,TE,DAL,7,89.5,85.3,87.8
fields_QB_PIT,Justin Fields,QB,PIT,9,213.5,186.0,213.3
flacco_QB_IND,Joe Flacco,QB,IND,14,,,289.0
flournoy_WR_DAL,Ryan Flournoy,WR,DAL,7,,,482.0
flowers_WR_BAL,Zay Flowers,WR,BAL,14,54.5,58.3,57.0
folk_K_TEN,Nick Folk,K,TEN,5,,,248.0
ford_RB_CLE,Jerome Ford,RB,CLE,10,114.0,119.7,125.6
foreman_RB_CLE,D'Onta Foreman,RB,CLE,10,228.0,228.0,206.0
franklin_WR_DEN,Troy Franklin,WR,DEN,14,170.0,170.0,211.8
freeman_RB_DAL,,,,,246.0,246.0,
freiermuth_TE_PIT,Pat Freiermuth,TE,PIT,9,125.5,135.7,139.0
funk_RB_DET,Jake Funk,RB,DET,5,,,458.0
gainwell_RB_PHI,Kenneth Gainwell,RB,PHI,5,258.0,249.5,238.3
gano_K_NYG,Graham Gano,K,NYG,11,,,238.5
garoppolo_QB_LAR,Jimmy Garoppolo,QB,LAR,6,,,317.0
gaskin_RB_MIN,Myles Gaskin,RB,MIN,6,,,409.0
gay_K_IND,Matt Gay,K,IND,14,227.0,221.0,205.6
gesicki_TE_CIN,Mike Gesicki,TE,CIN,12,217.0,218.5,231.8
giants_DST_NYG,Giants,DST,NYG,11,263.0,259.0,222.5
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,5,11.5,12.0,12.4
gibson_RB_NE,Antonio Gibson,RB,NE,14,150.0,156.0,165.8
gipson_WR_NYJ,Xavier Gipson,WR,NYJ,12,323.0,297.0,342.0
godwin_WR_TB,Chris Godwin,WR,TB,11,72.5,78.3,75.8
goedert_TE_PHI,Dallas Goedert,TE,PHI,5,108.0,108.3,113.2
goff_QB_DET,Jared Goff,QB,DET,5,105.5,104.3,119.4
goodson_RB_IND,Tyler Goodson,RB,IND,14,,,497.0
gray_RB_NYG,Eric Gray,RB,NYG,11,290.0,290.0,296.0
gray_TE_KC,Noah Gray,TE,KC,6,,,270.5
gray_WR_SF,Danny Gray,WR,SF,9,,,468.0
green_WR_DET,Antoine Green,WR,DET,5,,,436.0
grupe_K_NO,Blake Grupe,K,NO,12,,,233.3
guerendo_RB_SF,Isaac Guerendo,RB,SF,9,245.5,244.5,251.5
hall_RB_NYJ,Breece Hall,RB,NYJ,12,6.0,5.3,5.2
ham_RB_MIN,C.J. Ham,RB,MIN,6,,,380.0
hardman_WR_KC,Mecole Hardman Jr.,WR,KC,6,,,302.0
harris_RB_NE,Kevin Harris,RB,NE,14,,,466.0
harris_RB_PIT,Najee Harris,RB,PIT,9,69.0,68.3,75.4
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,11,17.0,17.0,17.4
harty_WR_BAL,Deonte Harty,WR,BAL,14,,,415.0
haskins_RB_TEN,Hassan Haskins,RB,TEN,5,,,442.0
heath_WR_GB,Malik Heath,WR,GB,10,,,359.0
hendershot_TE_DAL,Peyton Hendershot,TE,DAL,7,,,384.0
henry_RB_BAL,Derrick Henry,RB,BAL,14,22.5,20.0,19.0
henry_TE_NE,Hunter Henry,TE,NE,14,167.5,180.7,194.8
herbert_QB_LAC,Justin Herbert,QB,LAC,5,113.0,116.7,124.2
herbert_RB_CHI,Khalil Herbert,RB,CHI,7,192.0,187.0,205.8
heyward_TE_PIT,Connor Heyward,TE,PIT,9,,,451.0
higbee_TE_LAR,Tyler Higbee,TE,LAR,6,,,284.7
higgins_TE_ARI,Elijah Higgins,TE,ARI,11,,,452.0
higgins_WR_CIN,Tee Higgins,WR,CIN,12,56.5,57.7,59.2
hill_RB_BAL,Justice Hill,RB,BAL,14,276.0,271.5,252.7
hill_TE_NO,Taysom Hill,TE,NO,12,157.0,157.0,200.5
hill_WR_MIA,Tyreek Hill,WR,MIA,6,3.0,3.0,3.2
hockenson_TE_MIN,T.J. Hockenson,TE,MIN,6,114.0,119.3,113.0
hodge_WR_ATL,KhaDarel Hodge,WR,ATL,12,,,389.0
hodges_TE_CAR,Curtis Hodges,TE,CAR,11,,,330.0
hollins_WR_BUF,Mack Hollins,WR,BUF,12,,,363.0
homer_RB_CHI,Travis Homer,RB,CHI,7,,,364.0
hooker_QB_DET,Hendon Hooker,QB,DET,5,,,274.0
hooper_TE_NE,Austin Hooper,TE,NE,14,,,369.0
hopkins_K_CLE,Dustin Hopkins,K,CLE,10,260.0,234.0,164.7
hopkins_WR_TEN,DeAndre Hopkins,WR,TEN,5,89.5,94.0,94.8
howell_QB_SEA,Sam Howell,QB,SEA,10,,,262.0
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,11,136.0,149.3,154.0
hull_RB_IND,,,,,294.5,289.0,
humphrey_WR_DEN,Lil'Jordan Humphrey,WR,DEN,14,,,382.0
huntley_QB_CLE,Tyler Huntley,QB,CLE,10,,,417.0
hurst_TE_LAC,Hayden Hurst,TE,LAC,5,267.0,259.5,273.0
hurts_QB_PHI,Jalen Hurts,QB,PHI,5,32.0,32.0,33.4
hyatt_WR_NYG,Jalin Hyatt,WR,NYG,11,256.5,256.5,260.0
ingold_RB_MIA,Alec Ingold,RB,MIA,6,,,390.0
ingram_RB_KC,Keaontay Ingram,RB,KC,6,,,346.0
